Documentation Coverage Report
Generated,2025-07-04T08:02:57.853685
Total Code Files,474
Documented Files,15
Adequately Documented,0
Missing Documentation,446
Inadequate Documentation,28
Coverage Percentage,0.0%
Quality Score,0.72/1.0

Priority Breakdown
Priority,Count,Description
Critical,125,"Public APIs, complex services - immediate action required"
High,115,"Core components, important utilities - action needed soon"
Medium,115,"Supporting code, hooks - should be documented"
Low,119,"Internal utilities, simple helpers - nice to have"

File Type Breakdown
File Type,Missing,Inadequate,Total Issues
Service,24,0,24
Utility,24,25,49
Hook,33,0,33
Api_Route,18,2,20
Component,316,0,316
Unknown,28,0,28
Types,2,1,3
Middleware,1,0,1

Documentation Gaps Detail
File Path,File Name,Status,Priority,Expected Doc Path,File Type,Estimated Effort,Issues Count,Primary Issues
src/lib/services/RateLimitService.ts,RateLimitService.ts,Missing,Critical,index.md,Service,High,1,Documentation file does not exist
src/lib/services/EnhancedQuotaService.ts,EnhancedQuotaService.ts,Missing,Critical,index.md,Service,High,1,Documentation file does not exist
src/lib/utils/service-worker-cleanup.ts,service-worker-cleanup.ts,Inadequate,Critical,index.md,Utility,Medium,3,overview; usage; examples
src/lib/utils/content-parsers.ts,content-parsers.ts,Inadequate,Critical,index.md,Utility,Medium,3,overview; usage; examples
src/lib/utils/os-detection.ts,os-detection.ts,Inadequate,Critical,index.md,Utility,Medium,3,overview; usage; examples
src/lib/utils/privacy.ts,privacy.ts,Inadequate,Medium,index.md,Utility,Medium,3,overview; usage; examples
src/lib/utils/scroll-highlight-demo.ts,scroll-highlight-demo.ts,Inadequate,High,index.md,Utility,Medium,3,overview; usage; examples
src/lib/utils/social-sharing.ts,social-sharing.ts,Inadequate,High,index.md,Utility,Medium,3,overview; usage; examples
src/lib/utils/cache-manager.ts,cache-manager.ts,Inadequate,Critical,index.md,Utility,Medium,3,overview; usage; examples
src/lib/utils/scroll-position.ts,scroll-position.ts,Inadequate,Critical,index.md,Utility,Medium,3,overview; usage; examples
src/lib/utils/timeFormatting.ts,timeFormatting.ts,Inadequate,Medium,index.md,Utility,Medium,3,overview; usage; examples
src/lib/utils/hard-reset-manager.ts,hard-reset-manager.ts,Inadequate,Critical,index.md,Utility,Medium,3,overview; usage; examples
src/lib/utils/requestIdentifier.ts,requestIdentifier.ts,Inadequate,High,index.md,Utility,Medium,3,overview; usage; examples
src/lib/utils/scroll-highlight.ts,scroll-highlight.ts,Inadequate,High,index.md,Utility,Medium,3,overview; usage; examples
src/lib/utils/string/tag-regex.ts,tag-regex.ts,Missing,High,index.md,Utility,Medium,1,Documentation file does not exist
src/lib/utils/string/tag-utils.ts,tag-utils.ts,Missing,Medium,index.md,Utility,Low,1,Documentation file does not exist
src/lib/utils/parsers/emoji-parser.ts,emoji-parser.ts,Missing,Critical,index.md,Utility,High,1,Documentation file does not exist
src/lib/utils/parsers/image-parser.ts,image-parser.ts,Missing,Critical,index.md,Utility,High,1,Documentation file does not exist
src/lib/utils/parsers/markdown-parser.ts,markdown-parser.ts,Missing,High,index.md,Utility,Medium,1,Documentation file does not exist
src/lib/utils/parsers/rich-text-parser.ts,rich-text-parser.ts,Missing,Critical,index.md,Utility,High,1,Documentation file does not exist
src/lib/hooks/useNavigationLoader.ts,useNavigationLoader.ts,Missing,Medium,index.md,Hook,Low,1,Documentation file does not exist
src/app/api/admin/quotas/global/route.ts,route.ts,Missing,High,index.md,Api_Route,Medium,1,Documentation file does not exist
src/app/api/admin/quotas/global/[id]/route.ts,route.ts,Missing,High,index.md,Api_Route,Medium,1,Documentation file does not exist
src/app/api/admin/emojis/route.ts,route.ts,Missing,Critical,index.md,Api_Route,High,1,Documentation file does not exist
src/app/api/admin/users/route.ts,route.ts,Missing,High,index.md,Api_Route,Medium,1,Documentation file does not exist
src/app/api/admin/users/[id]/quotas/route.ts,route.ts,Missing,High,index.md,Api_Route,Medium,1,Documentation file does not exist
